,Name,Rating TA,Rating Glovo,Cuisine Style TA,Cuisine Style Glovo,Number of Reviews TA,Number of Reviews Glovo
623,Flash Flash,70%,95%,"['Mediterranean', 'European']","['Homemade food', 'Gourmet']",550,199
624,Vitali Pizza,80%,95%,"['Italian', 'Pizza']",['Pizza'],163,500+
625,Asian Noodles & Sushi,90%,97%,"['Japanese', 'Sushi']","['Asian', 'Japanese']",65,500+
627,Pasta Market Express,100%,86%,"['Italian', 'Mediterranean']","['Italian', 'Pizza']",27,34
628,PizzAmore,100%,88%,"['Italian', 'Pizza']",['Pizza'],37,43
629,Maur Muntaner,80%,94%,"['Mediterranean', 'Pizza']","['Mediterranean', 'Pizza']",216,73
630,OH BO,80%,98%,"['Mediterranean', 'European']",['Healthy'],241,102
631,Pai Mei,90%,97%,"['Asian', 'Japanese']",['Asian'],59,500+
632,Bella Sushi,80%,92%,"['Japanese', 'Sushi']","['Asian', 'Sushi']",65,58
633,La Royale,70%,94%,"['American', 'Bar']",['Burgers'],477,439
634,Dip Dumpling,100%,96%,['Asian'],['Asian'],30,89
635,La Tagliatella,70%,90%,"['Italian', 'Pizza']",['Italian'],459,432
637,Sottovoce,70%,92%,"['Italian', 'Pizza']",['Italian'],227,150
638,Zaatar & Co.,100%,95%,"['Lebanese', 'Mediterranean']","['Arabic', 'International']",16,500+
639,La Lolita,70%,93%,"['Bar', 'European']",['Mediterranean'],194,51
640,Dionisos,70%,92%,"['Mediterranean', 'European']","['Greek', 'International']",338,283
642,Mancora,80%,88%,"['Peruvian', 'Latin']",['International'],99,29
643,La Chelinda,80%,72%,"['Mexican', 'South American']",['Mexican'],150,23
645,El club de la pasta,100%,91%,"['Italian', 'Pizza']",['Pizza'],14,31
646,Nice Spice,80%,92%,"['Indian', 'Asian']","['Asian', 'Indian']",177,155
647,Il Commendatore,70%,97%,"['Italian', 'Pizza']","['Italian', 'Mediterranean']",321,500+
648,Ramen Kumamon,90%,94%,"['Chinese', 'Japanese']",['Japanese'],35,171
649,Kangnam,100%,97%,['$$ - $$$'],['Asian'],15,83
650,Brisa Sin Prisa,70%,97%,"['Bar', 'Mediterranean']",['Mediterranean'],170,148
651,Ramen Dou,90%,93%,"['Chinese', 'Japanese']","['Asian', 'Japanese']",17,16
652,Cantinho Brasileiro,80%,93%,"['Brazilian', 'Bar']","['Latin American', 'Mediterranean']",82,201
653,Secrets by Farga,90%,95%,['Mediterranean'],"['Healthy', 'Mediterranean']",32,500+
657,Sichuan,80%,97%,['Chinese'],"['Healthy', 'Japanese']",103,130
658,Sr. Ceviche,90%,95%,"['Peruvian', 'Latin']",['Latin American'],29,51
659,Five Guys,70%,97%,"['American', 'Fast Food']","['American', 'Burgers']",143,500+
661,Auto Rosellon,70%,91%,"['Mediterranean', 'European']",['Mediterranean'],413,29
662,HUNAN,80%,96%,"['Japanese', 'Sushi']","['Asian', 'Japanese']",72,222
663,El Canalla,70%,98%,"['Bar', 'Mediterranean']",['Mediterranean'],323,57
664,Asador Del Mar,70%,88%,"['Spanish', 'Catalan']","['marisco', 'Mediterranean']",232,130
665,Asian Restaurant,80%,69%,"['Indian', 'Asian']",['Indian'],75,35
666,Hachiko Sushi,80%,94%,"['Japanese', 'Sushi']","['Japanese', 'Sushi']",45,78
668,Chiku Yo Tei,70%,90%,"['Japanese', 'Sushi']",['Japanese'],111,56
669,La Piccola Roma,80%,96%,"['Italian', 'Mediterranean']","['International', 'Pizza']",97,79
670,Buena Morena,90%,97%,"['Mexican', 'Latin']","['Mexican', 'Vegan']",30,53
671,Asa sushibar,90%,97%,"['Japanese', 'Sushi']","['Asian', 'Japanese']",25,38
672,Ramen Shifu,80%,92%,"['Japanese', 'Asian']","['Asian', 'International']",47,241
675,Royal Nepal,90%,95%,"['Indian', 'Asian']","['Asian', 'Indian']",26,145
676,Da Me,90%,98%,"['Italian', 'Pizza']",['Pizza'],34,171
677,El Maracucho Grill House,90%,84%,"['Barbecue', 'Venezuelan']","['Burgers', 'Grill']",24,93
678,Subway,80%,94%,"['Fast Food', 'American']","['American', 'Sandwich']",130,500+
680,Vegesana,80%,97%,['Asian'],"['Healthy', 'Vegetarian']",72,25
681,Only Sushi,80%,97%,"['Japanese', 'Sushi']","['Asian', 'Japanese']",74,204
683,Green & Burger By Biocenter,90%,96%,['Healthy'],"['Burgers', 'Vegetarian']",24,168
684,Barcilo,90%,85%,['Italian'],"['Italian', 'Pizza']",22,35
685,La Picnic,90%,97%,"['Asian', 'Korean']",['Asian'],18,17
686,Mehman Khana,90%,87%,"['Indian', 'Pakistani']",['Indian'],27,27
687,Tiago La Pizza,90%,97%,"['Pizza', 'Italian']","['Italian', 'Pizza']",42,379
688,Tacos 99,90%,83%,['Spanish'],['Mexican'],16,60
690,Fast Kibuka,80%,96%,"['Japanese', 'Fast Food']","['Asian', 'Japanese']",119,433
691,Keik,80%,97%,"['European', 'Mediterranean']",['Burgers'],148,332
692,La turuleca,70%,91%,"['Peruvian', 'Latin']","['Latin American', 'Peruvian']",214,499
693,216 Grammi Poblenou,90%,92%,['Mediterranean'],['Italian'],12,167
694,A Vocados,80%,86%,"['Mediterranean', 'Healthy']",['Pizza'],83,190
699,K'delicia,100%,96%,"['Brazilian', 'South American']",['Latin American'],10,500+
700,Enlagloria Salad House,90%,95%,"['Healthy', 'Fast Food']","['Healthy', 'Vegetarian']",17,500+
701,La Viena Blanca,70%,99%,"['European', 'Spanish']",['Mediterranean'],114,49
702,Al Karma,90%,95%,"['Lebanese', 'Mediterranean']",['Arabic'],34,83
704,Sartoria Panatieri Eixample,80%,91%,"['Italian', 'Pizza']","['Italian', 'Pizza']",35,283
