,Name,Cuisine Style,Rating Glovo,Number of Reviews
1329,Entre Tapes Manso,"['Burgers', 'Mediterranean']",90%,61
1330,El Mundo,"['Italian', 'Mediterranean']",87%,85
1331,Sushi Life,"['Asian', 'Japanese']",51%,17
1332,La Hamburguesa Burger Niu,"['American', 'Burgers']",74%,10
1333,Santa Mila'S,['Latin American'],New,70
1334,La Taska Doner,"['Arabic', 'Pizza']",--,37
1335,Pasta Town,['Italian'],59%,87
1336,Tapas 2022,['American'],78%,115
1337,Prieto Empanadas BCN,['Latin American'],84%,51
1338,La Fábrica del Taco,['Mexican'],88%,22
1339,Uk Burger House,['Burgers'],56%,26
1340,M J’Pizza,['Pizza'],72%,69
1341,Ota Sushi,"['International', 'Japanese']",--,71
1342,Roma Pasta,"['Italian', 'Mediterranean']",80%,14
1343,Trattoria Les Lletres,"['Italian', 'Pizza']",--,60
1344,La Vinoteca,"['Gourmet', 'Supermarket']",97%,91
1345,Mogollon's,['Pizza'],100%,18
1346,Sabor De Turkish Kebab,"['Arabic', 'Pizza']",61%,59
1347,Pizzería Manso,"['Burgers', 'International']",89%,12
1348,Italina Pizza,"['Chicken', 'Pizza']",--,36
1349,Fresh Pollo,"['American', 'Mediterranean']",73%,284
1350,Dixy Kebab,"['Arabic', 'Burgers']",--,41
1351,Sushi Occidental,"['Asian', 'Sushi']",--,117
1352,Tommy Mel´s By LGFM,"['Burgers', 'Mediterranean']",--,10
1353,Rasturant Dues Portes,['Mediterranean'],74%,10
1354,Papa Joye Pizzería,"['Burgers', 'Pizza']",--,10
1355,Almita,['Mediterranean'],98%,29
1356,Vía Julia,['Arabic'],--,188
1357,Les Finestres De Llúria,['Mediterranean'],--,10
1358,Pizzas Cataluña,['Pizza'],80%,32
1359,Sweet Dreams,"['Ice cream', 'Sweets']",94%,28
1360,"Drinks, Pizza & Pasta","['Italian', 'Mediterranean']",72%,17
1361,Delicamon,['Mediterranean'],--,32
1362,La Cantonada Kusina Comida Asiaticas,"['Asian', 'Japanese']",New,13
1363,Aloha Vegan Poké,"['Poke', 'Vegan']",99%,34
1364,La Casa De La Milanesa,['Milanese'],--,10
1365,Llar De Tapas Casolana,['Mediterranean'],89%,49
1366,Santa Larica,"['American', 'International']",99%,68
1367,La Pala Boqueria,['Pizza'],98%,35
1368,Gust De Italia,"['Italian', 'Pizza']",73%,12
