,Name,Cuisine Style,Rating Glovo,Number of Reviews
187,TGB - The Good Burger,"['American', 'Burgers']",94%,500+
188,Ramen Shifu,"['Asian', 'International']",92%,500+
189,Chök,"['Snacks', 'Sweets']",95%,110
190,Chök Gluten Free,"['Gluten free', 'Sweets']",New,500+
191,Kebabish,"['Arabic', 'International']",96%,500+
192,Xurreria Jessy,"['Churros', 'Sweets']",96%,292
193,Bona Sort Sushi,"['Japanese', 'Poke']",98%,176
194,2254 Tapas,['Italian'],85%,97
195,El Limonero Peruano,"['Latin American', 'Peruvian']",88%,500+
196,Bendito Pecado,"['Latin American', 'Venezolana']",95%,475
197,Bellillo,"['Italian', 'Pizza']",96%,500+
198,La Caravana,"['Arabic', 'Pizza']",96%,253
199,A L'Ast Pollo Asado,"['American', 'Chicken']",93%,151
200,Machete Burritos,['Mexican'],94%,259
201,Deleit Sushi,"['Asian', 'Japanese']",97%,500+
202,Parking Pita,"['Arabic', 'Sandwich']",93%,500+
203,Manolo Bakes,"['Breakfast', 'Sweets']",97%,421
204,Maruko,['Japanese'],97%,500+
205,TEIKIT Sushi,"['Asian', 'Japanese']",96%,480
206,My Fucking Poke,"['Healthy', 'Poke']",94%,242
207,Roti - Indian Vegetarian Kitchen,"['Vegan', 'Vegetarian']",94%,500+
208,Sushi Way,"['Japanese', 'Sushi']",96%,476
209,M2 Gluten Free - Sin Gluten,"['Gluten free', 'Healthy']",94%,500+
210,Sushiyaki,"['Asian', 'Japanese']",97%,228
211,Pappa e Pizza,"['Italian', 'Pizza']",92%,57
212,Bar Restaurante Ámsterdam,['Burgers'],94%,352
213,Hai Tian,['Asian'],94%,209
214,Bowy,"['Healthy', 'Vegetarian']",98%,500+
215,Sports Bar Italian Food,"['Italian', 'Pizza']",94%,500+
216,GoXO,['International'],92%,135
217,Grill Restaurant,['Mediterranean'],97%,198
218,Koryo,['Asian'],98%,135
219,Pasteles BakerBand,"['Breakfast', 'Sweets']",94%,67
220,Crumbles,"['Sweets', 'Vegan']",93%,120
221,Santo Porcello,['Italian'],96%,241
222,ROYAL INDIAN by Taj,"['Indian', 'International']",95%,81
223,Yamada Ya BCN,['Japanese'],95%,307
224,Robin Foodie Comida Saludable,"['Healthy', 'Vegetarian']",95%,264
225,Restaurante Shanghai,['Asian'],91%,91
226,Cresta Colorada,['Mexican'],95%,283
227,Cuina Chen,['Asian'],99%,500+
228,Sweet Gocho,"['Breakfast', 'Ice cream']",94%,167
229,Flax & Kale @Home,['Healthy'],94%,500+
230,Fast Kibuka,"['Asian', 'Japanese']",97%,45
231,Gozo,"['Burgers', 'Healthy']",95%,500+
232,Casa Fong,['Asian'],92%,500+
233,Pots & Cakes,"['Snacks', 'Sweets']",99%,128
234,Arabia Café,"['Arabic', 'Mediterranean']",98%,314
235,Taco Bell,['Mexican'],83%,500+
236,OH BO,['Healthy'],98%,102
237,Frankfurt's Barceloneta,['Burgers'],94%,73
238,The Sunday Brunch.,"['Brunch', 'Sandwich']",98%,228
239,Gelatería Da Gallo,"['Ice cream', 'Sweets']",96%,160
240,Gandhi Veg India,"['International', 'Vegetarian']",95%,98
241,Kus Kus,['Mediterranean'],100%,65
242,Yummy Fried Chicken,"['American', 'Chicken']",98%,187
243,New York Burger,['Burgers'],89%,500+
244,Tapas 24,"['Brunch', 'Mediterranean']",97%,210
245,Restaurante Corea Qing Wa Tai,['Asian'],95%,225
246,Japan Home,['Japanese'],94%,17
247,Chiku Yo Tei,['Japanese'],90%,56
248,Dürüm Kebab Gracia,"['Arabic', 'Kebab']",95%,500+
249,Arepish,['Latin American'],93%,500+
250,Empanadas Malvón,"['International', 'Latin American']",93%,404
251,Almacén de Empanadas,['Latin American'],100%,277
252,Tandoori Nights,['Indian'],98%,128
253,Grasshopper Ramen Bar,['Asian'],83%,321
254,Brunch Gluten Free,"['Brunch', 'Gluten free']",91%,78
255,Hammock Juice Station,['Healthy'],92%,204
256,Rojo by Tragaluz,"['Japanese', 'Pizza']",93%,500+
257,American Pancakes by Melat,['Breakfast'],92%,60
258,Colombia Pan y Sabor - Aragón,['Latin American'],97%,177
259,Desoriente / Asian Vegan Sushi,"['Asian', 'Sushi']",94%,131
260,El Pollastre Anglès,"['Chicken', 'Paella']",96%,201
261,Ostras Louis,['Fishmongers'],95%,53
262,Fu Xing,"['Asian', 'Chinese']",94%,500+
263,Vapiano,"['Italian', 'Pizza']",94%,386
264,Wok Show,"['Asian', 'Japanese']",89%,415
265,Casa Moritz Barcelona,['Mediterranean'],98%,75
266,Tino | esto no es una pizza,"['Italian', 'Pizza']",98%,500+
267,Burritos,['Mexican'],92%,341
268,Restaurante Avocado BCN,['Mediterranean'],94%,64
269,Fat Barbies,['Burgers'],88%,377
270,Gandhi Express,['Indian'],97%,300
271,Asian Freak,['Asian'],95%,372
272,La Pala Pizza Bar,['Pizza'],91%,92
273,Central Brunch,"['Brunch', 'Sandwich']",97%,39
274,Chocolatería Valor,['Sweets'],94%,123
275,Casa Moritz Barcelona,['Mediterranean'],98%,75
276,Tino | esto no es una pizza,"['Italian', 'Pizza']",98%,500+
277,Burritos,['Mexican'],92%,341
278,Restaurante Avocado BCN,['Mediterranean'],94%,64
279,Fat Barbies,['Burgers'],88%,377
280,Gandhi Express,['Indian'],97%,300
281,Asian Freak,['Asian'],95%,372
282,La Pala Pizza Bar,['Pizza'],91%,92
283,Central Brunch,"['Brunch', 'Sandwich']",97%,39
284,Chocolatería Valor,['Sweets'],94%,123
285,Asian Ways,['Asian'],96%,402
286,Delhi Sweets And India Restaurant,['Indian'],92%,136
287,Port Bay,"['Breakfast', 'Snacks']",100%,30
288,Mimmar,"['Mediterranean', 'Vegetarian']",98%,139
289,Squadra Pizza Lab,['Pizza'],95%,500+
290,Lady Dumpling,"['Asian', 'Japanese']",94%,500+
291,Bam Bam Doner Kebab,"['Arabic', 'Chicken']",94%,264
292,Little Caesars Pizza,['Pizza'],93%,335
293,Ishumo,['Japanese'],98%,111
294,Doner Kebab El Maño,['Arabic'],89%,500+
295,La Picnic,['Asian'],97%,17
296,Chebu,['Asian'],94%,142
297,Single Fin Poke Joint,"['Healthy', 'Poke']",93%,433
298,Indian Diputació,['Indian'],90%,138
299,Big Boom Burger,"['American', 'Burgers']",94%,470
300,Indian Top Curry 2,['Japanese'],91%,39
301,Olivetto,"['Italian', 'Pizza']",98%,154
302,Restaurante Xewu II,['Asian'],97%,38
303,Charro Premium Burgers,"['American', 'Burgers']",98%,201
304,Restaurante Barnabier,"['Burgers', 'Mediterranean']",94%,30
305,Ceviches La Peruana,"['Latin American', 'Peruvian']",94%,169
306,Malditos los Tacos,['Mexican'],93%,236
307,Umēshu Sushi,"['Asian', 'Japanese']",95%,500+
308,Tío Bigotes,['Latin American'],97%,163
309,Chivuo's,['Burgers'],90%,440
310,Fit Bar,['Healthy'],98%,136
311,La Pita Bonita,"['Arabic', 'International']",93%,184
312,Wok Street,['Asian'],93%,324
313,Oi'Ma,"['Italian', 'Sandwich']",96%,277
314,365 Obrador,"['Breakfast', 'Brunch']",92%,233
315,Fàbrica Moritz Barcelona,"['Burgers', 'Mediterranean']",98%,111
316,Istambul Kebab,"['Arabic', 'Kebab']",93%,51
317,Zaika India Restaurant,['Indian'],92%,81
318,La Mama Acasa,['International'],97%,143
319,La Desayunería,"['American', 'Breakfast']",94%,359
320,Frankfurt El Perro de Cine,"['American', 'Gluten free']",92%,500+
321,La Burguesa,['Burgers'],93%,195
322,Pastelería Hofmann,"['Breakfast', 'Gourmet']",97%,375
323,Kioto,"['Asian', 'Japanese']",95%,406
324,Pollo Home,['Chicken'],93%,217
325,Sushi Nori,"['Japanese', 'Sushi']",95%,500+
326,Empanadish,"['Latin American', 'Venezolana']",96%,500+
327,Bonaburger,['Burgers'],93%,383
328,Fenicia,['Mediterranean'],97%,260
329,Ugarit,['International'],93%,213
330,Estambul Restaurant,['Arabic'],96%,61
331,El Pachuco,['Mexican'],94%,434
332,Healthy Nation,"['Healthy', 'Mediterranean']",93%,350
333,La Chirigota Brazil Food,"['International', 'Mediterranean']",83%,10
334,Pizzeria La Gavina,['Pizza'],96%,219
335,Más Que Sushi,"['Japanese', 'Sushi']",97%,244
336,Timesburg,['Burgers'],90%,500+
337,Franckfurt Baetulo,['Burgers'],92%,308
338,Bite the Health,"['Healthy', 'Poke']",75%,13
339,Pollo Rico,['Chicken'],91%,100
340,Acqua & Farina,"['Italian', 'Pizza']",95%,150
341,Taverna Italiana,['Pizza'],96%,48
342,Allinone Pastas,['Italian'],87%,304
343,Pizza Circus,['Pizza'],97%,500+
344,La Viena Blanca,['Mediterranean'],99%,49
345,Konkai Sushi,"['Japanese', 'Poke']",96%,62
346,OMG,"['Healthy', 'Mediterranean']",96%,500+
347,Restaurant La Boquería,"['Mediterranean', 'Paella']",89%,101
348,Burgertime Gourmet,['Burgers'],98%,98
349,Restaurante Kapadokya,['Arabic'],89%,71
350,Hungry Eyes,['Indian'],95%,185
351,Frankfurt Montgat,['Sandwich'],95%,39
352,Kanin Ko Rice In A Box,['Asian'],91%,31
353,Pizza Rico,['Pizza'],98%,39
354,Kangnam,['Asian'],97%,83
355,Xurreria Sagrada Família,"['Breakfast', 'Churros']",92%,500+
356,Mustafa’s Döner & Grill,['Arabic'],93%,500+
357,Rekons Empanadas,"['Mediterranean', 'Vegan']",98%,276
358,Bar Restaurante Cachut,['Mediterranean'],60%,10
359,Empanada Club Hostafrancs,['Latin American'],93%,218
360,Pura Brasa,"['Chicken', 'Grill']",94%,131
361,Tango Grill,['Latin American'],94%,283
362,Gallo Santo,"['Mexican', 'Vegetarian']",91%,22
363,Umamy Noodles,['Asian'],92%,336
364,Restaurante Pizzería Kebab Tchey,['Arabic'],94%,168
365,Super Vegan,"['Vegan', 'Vegetarian']",96%,168
366,El Club de La Pasta,['Pizza'],91%,31
367,Antalya Kebab y Pizza,"['Arabic', 'Kebab']",95%,234
368,Wok To Box,['Asian'],96%,384
369,Mr Tanaka Asian Burger,['Burgers'],95%,128
370,Carabela Café,['Mexican'],94%,111
371,Dionisos,"['Greek', 'International']",92%,283
372,All day Wok,['Asian'],94%,313
373,Tierra Burrito,['Mexican'],97%,500+
374,Indian Herbs,['Indian'],95%,237
375,Sr Ceviche,['Latin American'],95%,51
376,Lilo Brunch,"['Brunch', 'Healthy']",96%,73
377,Zeeshan Kebabish Halal Restaurant,"['Indian', 'Kebab']",91%,180
378,Dirty Joe's empowered by Heura,"['Burgers', 'Vegetarian']",97%,381
379,My Gyros Pita & Pizza - Greek House,['Pizza'],93%,292
380,Taj Mahal,"['Arabic', 'Indian']",92%,165
381,Super Picnic,['American'],96%,114
382,Healthy Pleasure,"['Healthy', 'Vegetarian']",95%,81
383,Miko Poke & Sushi,"['Japanese', 'Poke']",94%,122
384,That's Amore,['Pizza'],95%,230
385,Dunkin',"['Breakfast', 'Brunch']",94%,52
386,El Señorío de Perú,"['Latin American', 'Peruvian']",98%,160
387,Birrieria Dos Coyotes,['Mexican'],83%,124
388,Barbaro Costillas Y Alitas,"['American', 'International']",87%,178
389,Arrossería,"['Mediterranean', 'Paella']",86%,136
390,A Vocados,['Pizza'],96%,192
391,Kakigori,"['Japanese', 'Sweets']",92%,60
392,Bodega Genin,['Mediterranean'],97%,28
393,Bar El Velódromo,['Mediterranean'],99%,118
394,El Raco de Maladeta,"['Asian', 'Japanese']",93%,439
395,Toyako,"['Asian', 'Healthy']",97%,195
396,Casa Fernández,"['Burgers', 'Pizza']",99%,96
397,Pollo Al'Ast,"['Arabic', 'Chicken']",95%,48
398,Ribs,['American'],91%,183
399,Brutal Hotdogs,"['American', 'Burgers']",90%,34
400,Nikkis Kitchen,['Burgers'],94%,129
401,The Fresh Poke,"['Healthy', 'Poke']",91%,274
402,Brasería El Imperio,"['Latin American', 'Mediterranean']",92%,76
403,Pokawa,"['Poke', 'Vegan']",90%,198
404,Taller De Tapas Rambla,['Mediterranean'],94%,57
405,Pinoy Chao Fan,['Asian'],89%,45
406,Blät Muntaners,"['Bakery', 'Sandwich']",93%,123
407,Saray Restaurante Barcelona,"['Arabic', 'Indian']",94%,44
408,Curry Masala,"['Indian', 'International']",98%,48
409,Empanadas Las Muns,"['Latin American', 'Vegetarian']",97%,87
410,Can Pollo Leña Especialistas,['Chicken'],90%,138
411,Rostissería La Española,['Mediterranean'],80%,55
412,Cinesa,['Snacks'],83%,64
413,Dumplings,['Japanese'],96%,327
414,La Turka Kebab,"['Arabic', 'Pizza']",97%,265
415,T4 Bubble Tea,['Snacks'],95%,203
416,Restaurante Ola,['Japanese'],95%,37
417,Pappa e Pizza,"['Italian', 'Pizza']",96%,120
418,Hamburguesería rústica Tío Joe,['Burgers'],98%,111
419,Hamburguesería rústica Tío Joe,['Burgers'],98%,111
420,Mosquito,['Asian'],94%,91
421,Lebanese Parade,"['Arabic', 'Vegetarian']",87%,119
422,Fenicia Vegetariana,['Healthy'],96%,41
423,Yamada Ya BCN,['Japanese'],96%,182
424,Asador del Mar,"['marisco', 'Mediterranean']",88%,130
425,Saona,['Mediterranean'],89%,24
426,La Cuina Rosticería,['Chicken'],97%,59
427,Vegan Junk Food Bar,"['Burgers', 'Vegan']",97%,203
428,My Burgers,['Burgers'],97%,152
429,Brisa Sin Prisa,['Mediterranean'],97%,148
430,Poke Munch,"['Healthy', 'Poke']",96%,121
431,Frankfurt’s Sant Andreu,"['American', 'Burgers']",96%,500+
432,Citizen Café,"['Breakfast', 'International']",86%,156
433,Belyaburguer,['Burgers'],87%,89
434,The Chicken & Chips Co,['Chicken'],97%,135
435,Pasta Gaudí,['Italian'],99%,39
436,Waffle Barcelona,['Breakfast'],93%,342
437,Doner Kebab Fresh Food,['Arabic'],93%,48
438,Pizza París,"['Italian', 'Pizza']",94%,393
439,"Pokaï , Your tasty POKE BOWL",['Poke'],96%,48
440,The Greek Street,['Greek'],87%,500+
441,Lateral,['Mediterranean'],89%,139
442,Kebab Y Pizza,"['Arabic', 'Pizza']",99%,37
443,Sushifresh,"['Asian', 'Japanese']",93%,197
444,The Lobster Roll Barcelona,['American'],91%,95
445,Pizzería Ninones,['Italian'],89%,64
446,BRO Room,"['Burgers', 'Vegetarian']",93%,209
447,Quiero más,['Mediterranean'],92%,10
448,Telepizza,['Pizza'],95%,319
449,Livingstone,"['American', 'Burgers']",96%,384
450,TakoTako,['Mexican'],90%,70
451,Baden Baden,"['Burgers', 'Sandwich']",95%,119
452,Choroni Restaurante,"['Latin American', 'Venezolana']",94%,366
453,Durum De Barcelona,"['Arabic', 'Kebab']",91%,17
454,Restaurante Donde Siempre,"['Burgers', 'Latin American']",92%,93
455,India Go,['Indian'],93%,126
456,Enrique Tomás,"['Gourmet', 'Mediterranean']",97%,99
457,Pizerría Da Nanni,['Pizza'],93%,289
458,Frankfurt de Verdi,['Burgers'],96%,500+
459,VIPS,"['American', 'Burgers']",92%,388
460,Freshperts,"['Asian', 'Japanese']",92%,164
461,Restaurant Tamara,['Mediterranean'],96%,74
462,Green & Berry Corner,['Healthy'],95%,53
463,Grill Doner,['Arabic'],93%,206
464,Chilango's,['Mexican'],93%,149
465,Envols-Poké Bowls,"['Healthy', 'Poke']",93%,121
466,Capitol de Vietnam,"['Asian', 'International']",97%,275
467,Hi Wok,['Japanese'],91%,492
468,Trópico,"['Healthy', 'Latin American']",98%,91
469,DoriDori,['Breakfast'],94%,81
470,Empanar Empanadas,"['Gourmet', 'Latin American']",96%,372
471,Bobo Doner Kebab,"['Arabic', 'Kebab']",94%,288
472,Cachapish,['Latin American'],89%,490
473,deWeggie's,"['Burgers', 'Pizza']",95%,71
474,Pupuseria Pica Pica,"['International', 'Latin American']",96%,104
475,Elche Restaurant,['Mediterranean'],91%,20
476,Bar Taxi,['Mediterranean'],96%,81
477,Casa Díaz BCN,['Latin American'],91%,36
478,Turco Real,['Arabic'],97%,64
479,Cuina de Festa,['Mediterranean'],97%,45
480,Bopiz,"['Italian', 'Pizza']",93%,500+
481,Rebecca Diabola,"['Italian', 'Pizza']",97%,264
482,Halal Burger,['Burgers'],92%,36
483,Baozi Bar,['Japanese'],94%,74
484,Lys,"['Asian', 'International']",94%,113
485,Master Chef Sant Adrià de Besós,"['Asian', 'International']",92%,147
486,Boko Thai,['Thai'],86%,127
487,Restaurante Vegetalia,['Healthy'],98%,39
488,Kebab Inn,['Arabic'],90%,227
489,Rey De Ali Baba Kebab,"['Arabic', 'International']",89%,122
490,Bar Paco,"['Mediterranean', 'Pizza']",93%,31
491,Ciudad Flor,['Asian'],94%,227
492,Star India,['Indian'],90%,224
493,Tapa de China,['Asian'],86%,132
494,La tropa,['Burgers'],99%,58
495,Pans & Company,['Mediterranean'],95%,298
496,Rainbowls,['Japanese'],92%,204
497,Machete,['Mexican'],95%,78
498,A33 Pizzería,"['Italian', 'Pizza']",94%,138
499,Rosteria Pollo,"['Arabic', 'Chicken']",97%,40
500,La piazzetta gran via,['Pizza'],94%,160
501,Fiser Sushi,"['Japanese', 'Sushi']",95%,78
502,Cheriff Restaurant,['Mediterranean'],87%,14
503,Vegesana,"['Healthy', 'Vegetarian']",97%,154
504,Sabor Mexicano,['Mexican'],97%,225
505,Asa Sushibar,"['Asian', 'Japanese']",97%,38
506,Frankie Gallo Cha Cha Cha,"['Italian', 'Pizza']",93%,341
507,Restaurante Nami,['Asian'],88%,78
508,Pastas 197,"['International', 'Italian']",86%,260
509,Pizza To Rico,['Pizza'],94%,75
510,Pizza Margarita,"['International', 'Italian']",92%,89
511,PÖTSTOT-Vegano sin gluten,"['Gluten free', 'Gourmet']",85%,114
512,Pitta Hot Döner,['Arabic'],95%,89
513,Poke Fish and Greens,"['Healthy', 'Poke']",81%,39
514,Istanbul,['Arabic'],88%,63
515,Gandhi Executive Food,"['Chicken', 'Indian']",96%,301
516,Pasta Market Express,"['Italian', 'Pizza']",86%,34
517,Grill Istanbul,"['Arabic', 'Pizza']",97%,115
518,Bungr,"['American', 'Burgers']",93%,500+
519,Honkaku II,['Japanese'],100%,13
520,Bar Granja 2018,['Asian'],97%,163
521,Baba Kebab,"['Arabic', 'Kebab']",95%,198
522,Man O Salva Restaurante,"['Arabic', 'Pizza']",98%,31
523,Pizza Zona Franca,['Pizza'],99%,63
524,Frankfurt’s Industria,['Sandwich'],94%,229
525,King de Horta,"['Arabic', 'Pizza']",96%,179
526,Smoky Ribs,"['American', 'Grill']",87%,67
527,Tulsi Vegan Restaurante,"['Gourmet', 'Vegan']",97%,121
528,El Rey Del Pollo Leña Alast,['Chicken'],93%,147
529,Pasta Santaló,['Italian'],84%,64
530,Pollo A L'ast & Kebab,"['Burgers', 'Chicken']",98%,28
531,The Dog is Hot,['American'],92%,230
532,Usmaniagrill,['Indian'],89%,50
533,Pizzería Valencia,['Pizza'],94%,111
534,Champanillo,"['Burgers', 'Mediterranean']",88%,245
535,Liukoushui Hotpot Fideo,"['Asian', 'International']",94%,66
536,New Merka Pizza,['Italian'],94%,26
537,Raisu La Maquinista,['Asian'],97%,500+
538,Porta La Pasta,"['Italian', 'Mediterranean']",95%,321
539,Gelateria Italiana de la plaça Revolució,"['Ice cream', 'Italian']",100%,55
540,Bubble Bar,"['Latin American', 'Mediterranean']",87%,36
541,Thai & Green,['Asian'],92%,309
542,New Himali,"['Asian', 'Indian']",83%,32
543,Ninja Wings,"['American', 'Chicken']",97%,94
544,La Brasa Roja,['Chicken'],94%,150
545,Van Van Chicken Bar,['Chicken'],87%,215
546,El Racó,['Italian'],97%,111
547,Yakumanka,['Latin American'],87%,62
548,L'Àvia et cuida,['Mediterranean'],95%,38
549,Bilbao Berria,['Mediterranean'],83%,32
550,Restaurante El Nilo Barcelona,['Arabic'],96%,28
551,Pita Corner,"['Arabic', 'Pizza']",89%,86
552,Navas Doner Pizza,"['Arabic', 'International']",94%,44
553,Bendita Trumfa,"['Burgers', 'Sandwich']",94%,500+
554,Bar Restaurante La Familia,['Mediterranean'],86%,75
555,Pak Tandoori Restaurante,['Indian'],96%,203
556,Raconet,"['International', 'Sandwich']",92%,45
557,Bismillah Burguer,"['Arabic', 'Burgers']",85%,23
558,Kings Doner Kebab Pizzería,"['Arabic', 'International']",96%,143
559,Sunrise Doner Kebab,"['Arabic', 'Kebab']",86%,77
560,Paisano Bistró,['Italian'],94%,252
561,Realfooding To Go,"['Healthy', 'Mediterranean']",90%,347
562,Papadam Indian Authentic Restaurant,['Indian'],94%,228
563,Papadam Indian Authentic Restaurant,['Indian'],94%,228
564,K' Delicia,['Latin American'],96%,500+
565,¡Ándale Burrito!,['Mexican'],94%,143
566,Lahore Restaurant Authentic Pakistani Halal And Indian,['Indian'],85%,40
567,Celebre,"['Breakfast', 'Ice cream']",95%,151
568,Temaki Ya Sushi,"['Japanese', 'Sushi']",92%,23
569,Panino Silvestre,['Pizza'],97%,181
570,Yiduo,['Japanese'],97%,13
571,HFC Halal Fried Chicken,['Chicken'],87%,179
572,Gelateria Italiana Deliziosa,"['Ice cream', 'Italian']",93%,38
573,Pizza Stop,"['Italian', 'Pizza']",88%,289
574,Pizza Roger De Flor,['Pizza'],94%,169
575,Creperia George's,['Sweets'],89%,85
576,Takiyo Sushi,"['Asian', 'Japanese']",95%,169
577,Singh done kebab,['International'],91%,69
578,Restaurante Iguazú,['Latin American'],91%,72
579,Elements Healthy Food,"['Healthy', 'Vegetarian']",90%,83
580,Pizza Capri,['Pizza'],90%,384
581,Empanada Club Badal,"['Latin American', 'Pizza']",94%,93
582,Motomaki & Sushi,"['Japanese', 'Sushi']",94%,500+
583,Churrería Romero,"['Churros', 'Snacks']",91%,202
584,Wok Station,"['Asian', 'Thai']",95%,435
585,Hanaikada Sushi,"['Japanese', 'Sushi']",98%,96
586,MadreLievito Street Food,['Pizza'],91%,56
587,Napoles,"['Mediterranean', 'Paella']",96%,80
588,Dionisos Green,"['Greek', 'Mediterranean']",99%,19
589,El Buen Gusto Castelao 140,"['Grill', 'Latin American']",81%,100
590,Pizza Italiano,['Pizza'],95%,38
591,Rooster & Bubbles,['Chicken'],96%,210
592,Thai Munch,"['Asian', 'Thai']",92%,97
593,Wok Dao,['Japanese'],98%,61
594,HOSOmaki,['Asian'],92%,88
595,Soco,"['Burgers', 'Pizza']",99%,64
596,Pizza Local,"['Italian', 'Pizza']",98%,389
597,Pizza Virona,"['Italian', 'Pizza']",82%,124
598,Ikibana,['Japanese'],92%,193
599,The Chicago Pizza Pie,['Pizza'],95%,68
600,Gusto Pizzeria,"['Italian', 'Pizza']",98%,186
601,Amorino,['Ice cream'],91%,98
602,PM Sushi & Gyozas,"['Japanese', 'Sushi']",99%,65
603,Indian Ocean,['Indian'],85%,53
604,Pollo Bonitos,"['Arabic', 'Chicken']",94%,26
605,Healthy Pleasure,"['Healthy', 'Mediterranean']",97%,312
606,Estambul Kebab,['Arabic'],92%,177
607,Miss Sushi,"['Japanese', 'Sushi']",91%,104
608,Ciutat Nova,['Asian'],85%,69
609,Flying Burrito,"['Latin American', 'Mexican']",84%,75
610,Vegano - Vegetariano Perejil,"['Healthy', 'Vegan']",100%,34
611,Bang Bang Burritos,['Mexican'],88%,353
612,El Vato Loco,"['Pizza', 'Vegan']",94%,207
613,Empanada Club Clot,"['Mediterranean', 'Pizza']",98%,120
614,Youku Sushi,"['Japanese', 'Sushi']",93%,470
615,Dolsotbap Casanova,['Asian'],New,204
616,Only Sushi,"['Asian', 'Japanese']",97%,47
617,Bisma Kebabish,['Arabic'],93%,219
618,Changqing Restaurante China,['Asian'],93%,23
619,Spaitalia,['Italian'],84%,36
620,Euro Doner Pizzeria Alcudia,['Arabic'],100%,38
621,Kokomi Restaurante Japonés,['Japanese'],95%,25
622,Sushi H83,"['Asian', 'Japanese']",88%,26
623,Nihon sakari,['Japanese'],86%,199
624,Gallo Nero,['Italian'],92%,163
625,Cataluña Döner Kebab,['Arabic'],87%,22
626,Tacos Tacos,['Mexican'],89%,329
627,Frankfurt Sants,['Mediterranean'],95%,346
628,VRUTAL - Vegan Burgers & Bowls,"['Burgers', 'Healthy']",99%,20
629,Makamaka,['Burgers'],98%,237
630,My Sushi,"['Asian', 'Japanese']",92%,27
631,Restaurante Ciurana,['Mediterranean'],92%,121
632,Kebab House,"['Arabic', 'Chicken']",94%,178
633,Starbucks,"['Snacks', 'Sweets']",69%,32
634,Taco Alto Vegan,"['Mexican', 'Vegan']",92%,105
635,Damasquina,['Arabic'],87%,46
636,Petit Ciurana,['Mediterranean'],93%,119
637,Negro by Tragaluz,['Mediterranean'],96%,200
638,Darco's Café,['Burgers'],97%,74
639,Hao Sushi,"['Asian', 'Japanese']",97%,143
640,D. Fénix Sushi,"['Japanese', 'Sushi']",92%,96
641,Estrella de Istanbul,['Arabic'],92%,65
642,The Burger Maker Halal,"['Breakfast', 'Burgers']",92%,155
643,Gonzalez & Co Veggie & Vegan,"['American', 'Mexican']",95%,234
644,Village Restaurant I Doner Kebab,['Arabic'],94%,55
645,Oassis Lovely Pizza,['Pizza'],90%,32
646,La Gloria Vegana,"['Vegan', 'Vegetarian']",96%,195
647,Empanada Club Gracia,"['Latin American', 'Pizza']",98%,112
648,Sushi Bar Bofan,"['Japanese', 'Seafood']",95%,83
649,Pasta X Pasta,['Italian'],80%,383
650,Deep Detroit Style Pizza,['Pizza'],95%,185
651,Murivecchi,"['Italian', 'Pizza']",94%,57
652,Rico Kebab 2,"['Arabic', 'Pizza']",89%,194
653,Cataluña Döner Kebab Sant Josep,"['Arabic', 'Homemade food']",94%,10
654,Duram House,['Arabic'],100%,199
655,Bagel Brothers,['Sandwich'],94%,72
656,Berto's Milanesa,"['International', 'Latin American']",76%,39
657,Picarn,"['American', 'Arabic']",86%,141
658,Al Karma,['Arabic'],95%,83
659,Ristorante Margherita,['Italian'],96%,111
660,El Rey Del kebab,['Arabic'],91%,162
661,Guacamole's Cornella Tex-mex,['Mexican'],93%,100
662,Sushi Ouchi,"['Asian', 'Sushi']",85%,18
663,Italian Pizza,['Pizza'],96%,38
664,Delivery Nation,"['American', 'Healthy']",92%,89
665,Sushi King,"['Asian', 'Sushi']",96%,89
666,Healthy Burrito,"['Healthy', 'Mexican']",92%,425
667,Hachiko Sushi,"['Japanese', 'Sushi']",94%,365
668,Grill Corner Gran Via 2,['Mediterranean'],88%,54
669,Indian Top Curry,['Indian'],80%,53
670,Fenix Bar Tapas,['Mediterranean'],92%,16
671,Trattoria Di Guzman,"['International', 'Italian']",86%,126
672,La Turuleca,"['Latin American', 'Peruvian']",91%,499
673,Sultan Kebabish,['Arabic'],94%,205
674,A Tu Bola,['International'],99%,65
675,Latin Poke,"['Latin American', 'Poke']",92%,67
676,Canton Food,"['Asian', 'Chinese']",89%,316
677,Chocolat Box Gelato - Helado,['Ice cream'],90%,103
678,Firdaus's Fried Chicken,"['Burgers', 'Chicken']",85%,82
679,A Fuego! Costillas Y Alitas,"['American', 'Grill']",87%,93
680,Restaurante Libán,"['Arabic', 'Burgers']",95%,98
681,Babol Burger,['Burgers'],92%,40
682,Fluffies,"['Brunch', 'Snacks']",New,86
683,Pizzeria Creu,"['Indian', 'Italian']",96%,78
684,Pizzería Sants,['Pizza'],95%,48
685,Sushi Time,"['Japanese', 'Sushi']",84%,13
686,Tapas San Miguel,"['Asian', 'Burgers']",99%,52
687,Contratapa,['Mediterranean'],100%,30
688,Fujimaya,['Japanese'],94%,38
689,Yaadgaar Doner Kebab Pizzería,"['Arabic', 'Pizza']",95%,55
690,Maragall Doner Kebab,['Pizza'],93%,343
691,La Tremenda,"['American', 'Burgers']",90%,32
692,La Sabrosura,['Mediterranean'],93%,55
693,Empanada Club Gran De Gracia,['Latin American'],95%,126
694,Tequeñish,['Latin American'],94%,94
695,Zentral Bikinería,['Sandwich'],89%,172
696,Ándele,['Mexican'],91%,281
697,Sushilab,"['Japanese', 'Sushi']",97%,90
